timestamp,n_tickers,n_agents,t_feature,t_agent_calls,t_prompt_build,t_llm_call,t_parse,t_total,prompt_tokens,completion_tokens,llm_cost_usd,n_trades
2026-03-09 14:30:00+00:00,147,3,0.0,0.007256200013216585,0.00028300000121816993,5.868273300002329,0.00015269999857991934,5.875971100002062,1744,403,0.0005034,5
2026-03-09 18:15:00+00:00,147,3,0.0,0.02522569999564439,0.0005644999910145998,5.507232700008899,2.0899984519928694e-05,5.533049499965273,1604,342,0.0004458,4
2026-03-10 15:30:00+00:00,147,3,0.0,0.011544799956027418,0.00039679999463260174,2.7197797000408173,3.980001201853156e-05,2.731765699980315,1607,202,0.00036224999999999994,2
2026-03-10 19:15:00+00:00,147,3,0.0,0.013028299959842116,0.0003684000112116337,4.185109700018074,3.42000275850296e-05,4.198544999992009,807,256,0.00027465,3
2026-03-11 16:30:00+00:00,147,3,0.0,0.026384800032246858,0.0003244999679736793,6.5604417999857105,3.509997623041272e-05,6.587189899990335,1458,343,0.00042449999999999996,4
2026-03-12 13:45:00+00:00,147,3,0.0,0.023388899979181588,0.00022470002295449376,11.831800599989947,2.220005262643099e-05,11.855439799954183,1398,356,0.0004233,4
2026-03-12 17:30:00+00:00,147,3,0.0,0.01811120001366362,0.0005501999985426664,9.11967609997373,2.4900014977902174e-05,9.138367200037464,1328,277,0.0003654,3
2026-03-13 14:45:00+00:00,147,3,0.0,0.02192779997130856,0.00025290000485256314,6.45804749999661,2.2199994418770075e-05,6.480254499998409,1029,349,0.00036375,4
2026-03-13 18:30:00+00:00,147,3,0.0,0.008118800004012883,0.00022220000391826034,8.63498350000009,4.600000102072954e-05,8.643376199994236,1171,256,0.00032925,3
2026-03-16 15:45:00+00:00,147,3,0.0,0.009521200030576438,0.00032409996492788196,7.541475600039121,1.5600002370774746e-05,7.551340300007723,668,122,0.00017339999999999999,1
2026-03-16 19:30:00+00:00,147,3,0.0,0.014949799980968237,0.0002240000176243484,7.09516219998477,4.950002767145634e-05,7.110400100005791,662,109,0.0001647,1
2026-03-17 16:45:00+00:00,147,3,0.0,0.00773690000642091,0.00024719996144995093,3.3067411999800242,2.7600035537034273e-05,3.3147570999572054,953,202,0.00026415,2
2026-03-18 14:00:00+00:00,147,3,0.0,0.016265399986878037,0.0003093000268563628,9.265195099986158,2.5499961338937283e-05,9.281798799987882,1455,564,0.00055665,7
2026-03-18 17:45:00+00:00,147,3,0.0,0.032753300038166344,0.00030519999563694,4.522449499985669,6.170000415295362e-05,4.555575200007297,1242,271,0.00034889999999999997,3
2026-03-19 15:00:00+00:00,147,3,0.0,0.007809799979440868,0.0003577999887056649,4.355390599987004,1.8300022929906845e-05,4.3635806000093,1529,276,0.00039495,3
2026-03-19 18:45:00+00:00,147,3,0.0,0.023418000026140362,0.00024729996221140027,4.509586800006218,1.9899976905435324e-05,4.533275399997365,1171,329,0.00037305,4
2026-03-20 16:00:00+00:00,147,3,0.0,0.00688950001494959,0.00026729999808594584,6.437555699958466,4.6200002543628216e-05,6.444763500010595,1527,477,0.00051525,6
2026-03-20 19:45:00+00:00,147,3,0.0,0.010148000030312687,0.0005006999708712101,8.637482599995565,7.14000198058784e-05,8.648206800047774,1174,627,0.0005522999999999999,8
2026-03-23 17:00:00+00:00,147,3,0.0,0.03101899998728186,0.0002682000049389899,4.201194200024474,2.3500004317611456e-05,4.23250869999174,1242,267,0.00034649999999999997,3
2026-03-24 14:15:00+00:00,147,3,0.0,0.012221500044688582,0.0004954999894835055,5.963482599996496,3.8300000596791506e-05,5.976242799952161,1974,498,0.0005949,6
2026-03-24 18:00:00+00:00,147,3,0.0,0.016366299998480827,0.00023659999715164304,5.883846499957144,3.609998384490609e-05,5.900488599960227,1682,495,0.0005493,6
2026-03-25 15:15:00+00:00,147,3,0.0,0.02050540002528578,0.00028149998979642987,4.61000669997884,3.4699973184615374e-05,4.630831499991473,1455,332,0.00041745,4
2026-03-25 19:00:00+00:00,147,3,0.0,0.008174399961717427,0.0002560000284574926,2.798206399951596,4.020001506432891e-05,2.806681199988816,953,182,0.00025215,2
2026-03-26 16:15:00+00:00,147,3,0.0,0.007550699985586107,0.00021490000654011965,6.38465639995411,5.299999611452222e-05,6.3924851000192575,907,362,0.00035324999999999994,4
2026-03-27 13:30:00+00:00,147,3,0.0,0.012762100028339773,0.00034089997643604875,5.23915829998441,4.4599990360438824e-05,5.252311400021426,1797,445,0.00053655,5
2026-03-27 17:15:00+00:00,147,3,0.0,0.02171569998608902,0.0002468999591656029,3.82977850001771,3.0800001695752144e-05,3.8517773999483325,1025,207,0.00027795,2
2026-03-30 14:30:00+00:00,147,3,0.0,0.02432949998183176,0.0002935000229626894,3.5890055999625474,2.3600005079060793e-05,3.61365559999831,1399,282,0.00037905,3
2026-03-30 18:15:00+00:00,147,3,0.0,0.013788500044029206,0.00024049996864050627,6.579131999984384,3.8700003642588854e-05,6.5932041000342,1062,525,0.0004743,6
2026-03-31 15:30:00+00:00,147,3,0.0,0.008804300043266267,0.00028709997422993183,3.5243414000142366,4.7200010158121586e-05,3.5334856000263244,1238,261,0.00034229999999999997,3
2026-03-31 19:15:00+00:00,147,3,0.0,0.006922899978235364,0.00029200001154094934,3.837239899963606,9.879999561235309e-05,3.8445636999676935,1310,248,0.0003453,3
