timestamp,n_tickers,n_agents,t_feature,t_agent_calls,t_prompt_build,t_llm_call,t_parse,t_total,prompt_tokens,completion_tokens,llm_cost_usd,n_trades
2026-03-06 19:30:00+00:00,147,3,0.0,0.01021410000976175,0.00022609997540712357,8.24815599998692,8.189998334273696e-05,8.258684500004165,1236,403,0.0004272,5
2026-03-06 20:45:00+00:00,147,3,0.0,0.005913799977861345,0.00019420002354308963,5.41151229996467,2.1899992134422064e-05,5.417648700007703,1307,273,0.00035985,3
2026-03-09 14:30:00+00:00,147,3,0.0,0.017136499984189868,0.00033949996577575803,7.879304200003389,3.479997394606471e-05,7.896820799971465,1744,476,0.0005471999999999999,6
2026-03-09 15:45:00+00:00,147,3,0.0,0.010548600053880364,0.0005749000119976699,7.442924099974334,3.1100003980100155e-05,7.454084999975748,2064,424,0.000564,5
2026-03-09 17:00:00+00:00,147,3,0.0,0.006593499972950667,0.00019789999350905418,3.2951085999957286,1.780001912266016e-05,3.3019217000110075,948,200,0.0002622,2
2026-03-09 18:15:00+00:00,147,3,0.0,0.019064099993556738,0.0003347999881953001,9.90086729999166,0.00019240000983700156,9.920463099959306,1604,486,0.0005322,6
2026-03-09 19:30:00+00:00,147,3,0.0,0.005456899991258979,0.00017630000365898013,5.759846100001596,2.1000043489038944e-05,5.765503800008446,1173,331,0.00037454999999999997,4
2026-03-10 14:15:00+00:00,147,3,0.0,0.006157000025268644,0.00024669995764270425,8.172040500037838,2.1900050342082977e-05,8.178470400045626,1745,403,0.00050355,5
2026-03-10 15:30:00+00:00,147,3,0.0,0.005759699968621135,0.00020940002286806703,3.830714599986095,1.629994949325919e-05,3.8367037999560125,1607,202,0.00036224999999999994,2
2026-03-10 16:45:00+00:00,147,3,0.0,0.026771999953780323,0.0002607000060379505,8.777474500006065,2.2799998987466097e-05,8.804533699993044,1934,511,0.0005966999999999999,6
2026-03-10 18:00:00+00:00,147,3,0.0,0.005875799979548901,0.00021029997151345015,7.17062710004393,2.080004196614027e-05,7.176737999951001,1174,420,0.0004281,5
2026-03-10 19:15:00+00:00,147,3,0.0,0.008159800025168806,0.00036999996518716216,4.701141100027598,1.7799960914999247e-05,4.709692800010089,807,257,0.00027525,3
2026-03-11 14:00:00+00:00,147,3,0.0,0.006008700001984835,0.00020060001406818628,6.4491445000167005,2.110004425048828e-05,6.45537860004697,1387,332,0.00040724999999999995,4
2026-03-11 15:15:00+00:00,147,3,0.0,0.005650400009471923,0.00020070001482963562,5.1119677000097,3.0099996365606785e-05,5.117854200012516,1547,355,0.00044505,4
2026-03-11 16:30:00+00:00,147,3,0.0,0.005783199972938746,0.00019690004410222173,8.190853299980517,2.400000812485814e-05,8.196861599979457,1458,352,0.0004299,4
2026-03-11 17:45:00+00:00,147,3,0.0,0.021246999967843294,0.0001876000314950943,9.42057079996448,2.1599989850074053e-05,9.44203129998641,1387,344,0.00041445,4
2026-03-11 19:00:00+00:00,147,3,0.0,0.00524490000680089,0.00031649996526539326,2.3015921000042,1.939997309818864e-05,2.3071780999889597,662,114,0.0001677,1
